type	name	value	zone	address	bytes	access	other
Factory	TIM1_CCMR2	---	Memory	0x5259	1	readWrite	strong	
Factory	TIM1_CCMR3	---	Memory	0x525a	1	readWrite	strong	
Factory	TIM1_CCMR4	---	Memory	0x525b	1	readWrite	strong	
Factory	TIM1_CCER1	---	Memory	0x525c	1	readWrite	strong	
Factory	TIM1_CCER2	---	Memory	0x525d	1	readWrite	strong	
Factory	TIM1_CNTRH	---	Memory	0x525e	1	readWrite	strong	
Factory	TIM1_CNTRL	---	Memory	0x525f	1	readWrite	strong	
Factory	TIM1_PSCRH	---	Memory	0x5260	1	readWrite	strong	
Factory	TIM1_PSCRL	---	Memory	0x5261	1	readWrite	strong	
Factory	TIM1_ARRH	---	Memory	0x5262	1	readWrite	strong	
Factory	TIM1_ARRL	---	Memory	0x5263	1	readWrite	strong	
Factory	TIM1_RCR	---	Memory	0x5264	1	readWrite	strong	
Factory	TIM1_CCR1H	---	Memory	0x5265	1	readWrite	strong	
Factory	TIM1_CCR1L	---	Memory	0x5266	1	readWrite	strong	
Factory	TIM1_CCR2H	---	Memory	0x5267	1	readWrite	strong	
Factory	TIM1_CCR2L	---	Memory	0x5268	1	readWrite	strong	
Factory	TIM1_CCR3H	---	Memory	0x5269	1	readWrite	strong	
Factory	TIM1_CCR3L	---	Memory	0x526a	1	readWrite	strong	
Factory	TIM1_CCR4H	---	Memory	0x526b	1	readWrite	strong	
Factory	TIM1_CCR4L	---	Memory	0x526c	1	readWrite	strong	
Factory	TIM1_BKR	---	Memory	0x526d	1	readWrite	strong	
Factory	TIM1_DTR	---	Memory	0x526e	1	readWrite	strong	
Factory	TIM1_OISR	---	Memory	0x526f	1	readWrite	strong	
Factory	TIM2_CR1	---	Memory	0x5300	1	readWrite	strong	
Factory	TIM2_IER	---	Memory	0x5303	1	readWrite	strong	
Factory	TIM2_SR1	---	Memory	0x5304	1	readWrite	strong	
Factory	TIM2_SR2	---	Memory	0x5305	1	readWrite	strong	
Factory	TIM2_EGR	---	Memory	0x5306	1	readWrite	strong	
Factory	TIM2_CCMR1	---	Memory	0x5307	1	readWrite	strong	
